,0,1,2,3,4,5,
V_CE (V),0.1,0.5,1,5,8,12,
V_BB1(mV),800,800,800,800,800,800,
V_CC1 (V),0.1,0.494,0.995,4.992,8,11.99,
V_BE1 (mV),591,595,601,626,637,646,
I_B1(uA),2.09,2.05,1.99,1.74,1.63,1.54,
I_C1(mA),0, -0.0015, -0.00125, -0.002, 0, -0.0025

,0,1,2,3,4,5,
V_CE (V),0.1,0.5,1,5,8,12,
V_BB2(mV),950,950,950,950,950,950,
V_CC2 (V),0.101,0.494,0.995,5,8,12,
V_BE2 (mV),596,600,605,628,638,648,
I_B2(uA),3.54,3.5,3.45,3.22,3.12,3.02,
I_C2(mA),0.00025,-0.0015,-0.00125,0,0,0

,0,1,2,3,4,5,
V_CE (V),0.1,0.5,1,5,8,12,
V_BB3(mV),1100,1100,1100,1100,1100,1100,
V_CC3 (V),0.1,0.494,0.995,4.992,8,12.33,
V_BE3 (mV),601,605,609,630,640,649,
I_B3(uA),4.99,4.95,4.91,4.7,4.6,4.51,
I_C3(mA),0,-0.0015,-0.00125,-0.002,0,0.0825
